Gender,Grade,Age,Race,Urban/Rural,School,Goals,Grades,Sports,Looks,Money
girl,6,11,Other,Suburban,Brentwood Middle,Popular,2,3,1,4
girl,6,11,White,Suburban,Brentwood Middle,Popular,1,3,2,4
girl,6,11,White,Suburban,Brentwood Middle,Popular,1,3,4,2
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,1,2,3
girl,6,11,White,Suburban,Brentwood Middle,Sports,1,2,3,4
girl,6,11,White,Suburban,Brentwood Middle,Grades,3,4,1,2
girl,6,11,White,Suburban,Brentwood Middle,Popular,1,2,3,4
girl,6,13,White,Suburban,Brentwood Middle,Grades,2,4,1,3
girl,6,11,White,Suburban,Brentwood Middle,Popular,4,2,1,3
girl,6,11,White,Suburban,Brentwood Middle,Popular,4,3,1,2
girl,6,11,White,Suburban,Brentwood Middle,Popular,3,4,1,2
girl,6,12,White,Suburban,Brentwood Middle,Grades,2,3,1,4
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,3,1,2
girl,6,11,White,Suburban,Brentwood Middle,Popular,4,3,1,2
girl,6,11,White,Suburban,Brentwood Middle,Grades,3,2,1,4
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,3,1,2
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,1,2,3
girl,6,11,White,Suburban,Brentwood Middle,Sports,3,1,2,4
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,3,2,1
girl,6,11,White,Suburban,Brentwood Middle,Popular,1,2,3,4
girl,6,12,White,Suburban,Brentwood Middle,Grades,3,1,2,4
girl,6,11,White,Suburban,Brentwood Middle,Popular,4,3,1,2
girl,6,12,White,Suburban,Brentwood Middle,Popular,2,3,1,4
girl,6,11,White,Suburban,Brentwood Middle,Popular,2,1,3,4
girl,6,11,White,Suburban,Brentwood Middle,Grades,2,3,1,4
girl,6,11,White,Suburban,Brentwood Middle,Popular,4,3,1,2
girl,6,11,White,Suburban,Brentwood Middle,Grades,3,2,1,4
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,2,1,3
girl,6,11,White,Suburban,Brentwood Middle,Grades,3,4,1,2
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,3,1,2
girl,6,12,White,Suburban,Brentwood Middle,Sports,4,3,2,1
girl,6,11,White,Suburban,Brentwood Middle,Popular,1,3,2,4
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,2,1,3
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,3,1,2
girl,6,12,White,Suburban,Brentwood Middle,Grades,3,2,1,4
girl,6,12,White,Suburban,Brentwood Middle,Grades,4,2,1,3
girl,6,11,White,Suburban,Brentwood Middle,Grades,4,2,1,3
boy,6,11,White,Suburban,Brentwood Middle,Popular,3,1,2,4
boy,6,12,White,Suburban,Brentwood Middle,Grades,3,1,2,4
boy,6,11,White,Suburban,Brentwood Middle,Popular,3,2,1,4
boy,6,11,White,Suburban,Brentwood Middle,Popular,4,2,1,3
boy,6,12,Other,Suburban,Brentwood Middle,Grades,4,1,2,3
boy,6,12,White,Suburban,Brentwood Middle,Grades,1,3,4,2
boy,6,11,White,Suburban,Brentwood Middle,Popular,3,1,2,4
boy,6,12,White,Suburban,Brentwood Middle,Grades,1,2,3,4
boy,6,12,Other,Suburban,Brentwood Middle,Grades,2,1,3,4
boy,6,12,Other,Suburban,Brentwood Middle,Popular,4,3,1,2
boy,6,12,White,Suburban,Brentwood Middle,Grades,4,1,2,3
boy,6,11,White,Suburban,Brentwood Middle,Sports,3,1,2,4
boy,6,11,White,Suburban,Brentwood Middle,Grades,4,1,2,3
boy,6,11,White,Suburban,Brentwood Middle,Sports,2,1,4,3
boy,6,12,White,Suburban,Brentwood Middle,Grades,2,1,4,3
boy,6,11,White,Suburban,Brentwood Middle,Grades,2,1,4,3
boy,6,11,White,Suburban,Brentwood Middle,Grades,4,1,2,3
boy,6,12,White,Suburban,Brentwood Middle,Grades,4,1,2,3
boy,6,11,White,Suburban,Brentwood Middle,Grades,4,1,2,3
boy,6,11,White,Suburban,Brentwood Middle,Sports,2,3,1,4
boy,6,11,White,Suburban,Brentwood Middle,Popular,3,1,2,4
boy,6,12,White,Suburban,Brentwood Middle,Grades,3,1,2,4
boy,6,12,White,Suburban,Brentwood Middle,Popular,3,1,2,4
boy,6,11,White,Suburban,Brentwood Middle,Grades,3,1,2,4
boy,6,12,White,Suburban,Brentwood Middle,Popular,2,1,4,3
boy,6,11,White,Suburban,Brentwood Middle,Grades,1,2,3,4
boy,6,12,White,Suburban,Brentwood Middle,Grades,2,1,4,3
boy,6,11,White,Suburban,Brentwood Middle,Grades,1,2,3,4
boy,6,12,White,Suburban,Brentwood Middle,Sports,2,1,3,4
boy,6,11,White,Suburban,Brentwood Middle,Sports,2,1,3,4
boy,6,11,White,Suburban,Brentwood Middle,Grades,4,1,3,2
boy,5,11,White,Suburban,Brentwood Middle,Popular,3,2,1,4
boy,6,11,White,Suburban,Brentwood Middle,Grades,3,2,1,4
boy,6,11,White,Suburban,Brentwood Middle,Popular,3,1,4,2
boy,6,11,White,Suburban,Brentwood Middle,Grades,1,2,3,4
boy,6,12,White,Suburban,Brentwood Middle,Sports,2,3,1,4
boy,6,11,White,Suburban,Brentwood Middle,Grades,1,2,3,4
boy,6,12,White,Suburban,Brentwood Middle,Grades,2,1,3,4
boy,6,11,White,Suburban,Brentwood Middle,Grades,4,3,2,1
boy,6,12,White,Suburban,Brentwood Middle,Popular,4,1,2,3
boy,6,12,White,Suburban,Brentwood Middle,Grades,4,1,2,3
boy,6,12,White,Suburban,Brentwood Middle,Grades,4,3,1,2
boy,6,12,White,Suburban,Brentwood Middle,Sports,1,2,3,4
boy,6,13,White,Suburban,Brentwood Middle,Sports,1,2,4,3
boy,6,11,White,Suburban,Brentwood Middle,Grades,2,1,3,4
boy,6,12,White,Suburban,Brentwood Middle,Sports,3,1,2,4
boy,6,12,White,Suburban,Brentwood Middle,Grades,1,2,3,4
girl,6,12,White,Rural,Brown Middle,Popular,4,2,1,3
girl,6,11,White,Rural,Brown Middle,Popular,3,4,1,2
girl,6,11,White,Rural,Brown Middle,Grades,4,2,1,3
girl,6,11,White,Rural,Brown Middle,Grades,4,2,1,3
girl,6,11,White,Rural,Brown Middle,Grades,1,3,2,4
girl,6,12,White,Rural,Brown Middle,Grades,4,3,1,2
girl,6,12,Other,Rural,Brown Middle,Grades,3,2,1,4
girl,6,11,White,Rural,Brown Middle,Popular,1,2,3,4
girl,6,11,White,Rural,Brown Middle,Sports,4,1,3,2
girl,6,12,White,Rural,Brown Middle,Grades,4,3,1,2
girl,6,11,White,Rural,Brown Middle,Popular,2,1,3,4
girl,6,11,White,Rural,Brown Middle,Popular,3,2,1,4
girl,6,11,Other,Rural,Brown Middle,Grades,1,3,4,2
girl,6,11,White,Rural,Brown Middle,Popular,3,1,2,4
girl,6,11,White,Rural,Brown Middle,Popular,1,2,3,4
girl,6,11,White,Rural,Brown Middle,Popular,4,2,1,3
girl,6,12,White,Rural,Brown Middle,Grades,4,2,1,3
girl,6,11,White,Rural,Brown Middle,Grades,2,3,1,4
girl,6,11,White,Rural,Brown Middle,Grades,2,3,1,4
girl,6,11,White,Rural,Brown Middle,Grades,1,4,2,3
girl,6,11,White,Rural,Brown Middle,Popular,4,2,1,3
girl,6,12,White,Rural,Brown Middle,Grades,3,1,2,4
girl,6,11,White,Rural,Brown Middle,Grades,4,2,1,3
girl,6,12,White,Rural,Brown Middle,Sports,2,1,3,4
girl,6,11,White,Rural,Brown Middle,Sports,2,4,1,3
girl,6,11,White,Rural,Brown Middle,Grades,4,2,1,3
boy,6,12,White,Rural,Brown Middle,Sports,4,3,1,2
boy,6,13,White,Rural,Brown Middle,Sports,4,1,2,3
boy,6,11,White,Rural,Brown Middle,Sports,3,1,2,4
boy,6,11,White,Rural,Brown Middle,Sports,4,2,1,3
boy,6,12,White,Rural,Brown Middle,Popular,4,2,3,1
boy,6,11,White,Rural,Brown Middle,Sports,2,1,3,4
boy,6,12,White,Rural,Brown Middle,Sports,3,1,2,4
boy,6,11,White,Rural,Brown Middle,Grades,4,1,2,3
boy,6,12,White,Rural,Brown Middle,Grades,4,2,1,3
boy,6,11,White,Rural,Brown Middle,Sports,4,1,2,3
boy,6,12,White,Rural,Brown Middle,Popular,2,3,4,1
boy,6,11,White,Rural,Brown Middle,Grades,3,2,1,4
boy,6,11,White,Rural,Brown Middle,Grades,2,1,3,4
boy,6,12,White,Rural,Brown Middle,Sports,3,1,2,4
boy,6,11,White,Rural,Brown Middle,Grades,3,1,4,2
boy,6,11,White,Rural,Brown Middle,Grades,4,1,2,3
boy,6,12,Other,Rural,Brown Middle,Popular,4,3,2,1
boy,6,12,White,Rural,Brown Middle,Sports,3,1,2,4
boy,6,11,White,Rural,Brown Middle,Grades,1,2,3,4
boy,6,12,White,Rural,Brown Middle,Sports,4,1,2,3
boy,6,11,White,Rural,Brown Middle,Popular,4,2,1,3
boy,6,13,White,Rural,Brown Middle,Sports,4,2,1,3
boy,6,11,White,Rural,Brown Middle,Grades,4,3,1,2
boy,6,11,White,Rural,Brown Middle,Sports,3,1,4,2
boy,6,11,White,Rural,Brown Middle,Popular,4,2,1,3
boy,6,11,White,Rural,Brown Middle,Sports,3,1,4,2
girl,6,11,White,Urban,Westdale Middle,Popular,3,2,1,4
girl,6,11,White,Urban,Westdale Middle,Popular,4,3,2,1
girl,6,11,White,Urban,Westdale Middle,Popular,3,1,2,4
girl,6,11,White,Urban,Westdale Middle,Popular,4,2,1,3
girl,6,11,Other,Urban,Westdale Middle,Grades,4,2,1,3
girl,6,11,White,Urban,Westdale Middle,Popular,4,2,1,3
girl,6,11,White,Urban,Westdale Middle,Popular,4,1,2,3
girl,6,11,White,Urban,Westdale Middle,Grades,3,2,1,4
girl,6,11,White,Urban,Westdale Middle,Grades,2,3,1,4
girl,6,11,White,Urban,Westdale Middle,Grades,4,3,1,2
girl,6,11,White,Urban,Westdale Middle,Grades,3,2,1,4
girl,6,11,White,Urban,Westdale Middle,Popular,3,2,1,4
girl,6,11,White,Urban,Westdale Middle,Grades,4,2,1,3
girl,6,11,White,Urban,Westdale Middle,Popular,3,1,2,4
girl,6,12,Other,Urban,Westdale Middle,Popular,2,4,3,1
girl,6,11,White,Urban,Westdale Middle,Grades,4,3,1,2
girl,6,11,White,Urban,Westdale Middle,Grades,2,3,1,4
girl,6,11,White,Urban,Westdale Middle,Popular,3,2,1,4
girl,6,11,Other,Urban,Westdale Middle,Popular,2,3,4,1
girl,6,12,White,Urban,Westdale Middle,Grades,2,1,3,4
girl,6,11,White,Urban,Westdale Middle,Grades,4,2,1,3
girl,5,11,White,Urban,Westdale Middle,Grades,3,2,1,4
girl,6,11,White,Urban,Westdale Middle,Grades,2,3,1,4
girl,6,11,Other,Urban,Westdale Middle,Sports,4,1,2,3
girl,6,11,White,Urban,Westdale Middle,Grades,4,3,1,2
girl,6,11,White,Urban,Westdale Middle,Grades,3,4,1,2
girl,6,11,White,Urban,Westdale Middle,Popular,4,2,1,3
girl,6,11,White,Urban,Westdale Middle,Popular,3,4,1,2
girl,6,11,White,Urban,Westdale Middle,Grades,3,4,1,2
girl,6,11,White,Urban,Westdale Middle,Grades,3,2,1,4
girl,6,11,Other,Urban,Westdale Middle,Grades,3,2,1,4
girl,6,11,White,Urban,Westdale Middle,Popular,4,3,1,2
girl,6,11,White,Urban,Westdale Middle,Sports,3,2,1,4
girl,6,11,White,Urban,Westdale Middle,Grades,4,2,1,3
boy,6,12,White,Urban,Westdale Middle,Grades,3,1,2,4
boy,6,11,Other,Urban,Westdale Middle,Sports,3,2,1,4
boy,6,11,White,Urban,Westdale Middle,Grades,3,1,2,4
boy,6,11,White,Urban,Westdale Middle,Grades,1,2,3,4
boy,6,12,White,Urban,Westdale Middle,Grades,3,1,2,4
boy,6,11,White,Urban,Westdale Middle,Grades,2,1,3,4
boy,6,11,White,Urban,Westdale Middle,Popular,3,1,2,4
boy,6,12,White,Urban,Westdale Middle,Grades,3,1,2,4
boy,6,11,White,Urban,Westdale Middle,Grades,4,2,1,3
boy,6,11,White,Urban,Westdale Middle,Grades,3,2,1,4
boy,6,11,White,Urban,Westdale Middle,Grades,4,1,2,3
boy,6,11,White,Urban,Westdale Middle,Sports,4,1,2,3
boy,6,11,White,Urban,Westdale Middle,Grades,4,2,1,3
boy,6,11,White,Urban,Westdale Middle,Popular,4,1,3,2
boy,6,11,White,Urban,Westdale Middle,Popular,4,1,2,3
