class,age,gender,survival
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Alive
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Male,Dead
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Alive
First,Adult,Female,Dead
First,Adult,Female,Dead
First,Adult,Female,Dead
First,Adult,Female,Dead
First,Child,Male,Alive
First,Child,Male,Alive
First,Child,Male,Alive
First,Child,Male,Alive
First,Child,Male,Alive
First,Child,Female,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Alive
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
