Name,Team,Position,Height,Weight,Age
Adam_Donachie,BAL,C,74,180,22.99
Paul_Bako,BAL,C,74,215,34.69
Ramon_Hernandez,BAL,C,72,210,30.78
Kevin_Millar,BAL,1B,72,210,35.43
Chris_Gomez,BAL,1B,73,188,35.71
Brian_Roberts,BAL,2B,69,176,29.39
Miguel_Tejada,BAL,SS,69,209,30.77
Melvin_Mora,BAL,3B,71,200,35.07
Aubrey_Huff,BAL,3B,76,231,30.19
Adam_Stern,BAL,OF,71,180,27.05
Jeff_Fiorentino,BAL,OF,73,188,23.88
Freddie_Bynum,BAL,OF,73,180,26.96
Nick_Markakis,BAL,OF,74,185,23.29
Brandon_Fahey,BAL,OF,74,160,26.11
Corey_Patterson,BAL,OF,69,180,27.55
Jay_Payton,BAL,OF,70,185,34.27
Jay_Gibbons,BAL,DH,72,197,30
Erik_Bedard,BAL,Starting_P,73,189,27.99
Hayden_Penn,BAL,Starting_P,75,185,22.38
Adam_Loewen,BAL,Starting_P,78,219,22.89
Daniel_Cabrera,BAL,Starting_P,79,230,25.76
Steve_Trachsel,BAL,Starting_P,76,205,36.33
Jaret_Wright,BAL,Starting_P,74,230,31.17
Kris_Benson,BAL,Starting_P,76,195,32.31
Scott_Williamson,BAL,Relief_P,72,180,31.03
John_Parrish,BAL,Relief_P,71,192,29.26
Danys_Baez,BAL,Relief_P,75,225,29.47
Chad_Bradford,BAL,Relief_P,77,203,32.46
Jamie_Walker,BAL,Relief_P,74,195,35.67
Brian_Burres,BAL,Relief_P,73,182,25.89
Kurt_Birkins,BAL,Relief_P,74,188,26.55
James_Hoey,BAL,Relief_P,78,200,24.17
Sendy_Rleal,BAL,Relief_P,73,180,26.69
Chris_Ray,BAL,Relief_P,75,200,25.13
Jeremy_Guthrie,BAL,Relief_P,73,200,27.9
A.J._Pierzynski,CWS,C,75,245,30.17
Toby_Hall,CWS,C,75,240,31.36
Paul_Konerko,CWS,1B,74,215,30.99
Tadahito_Iguchi,CWS,2B,69,185,32.24
Juan_Uribe,CWS,SS,71,175,27.61
Alex_Cintron,CWS,SS,74,199,28.2
Joe_Crede,CWS,3B,73,200,28.85
Josh_Fields,CWS,3B,73,215,24.21
Ryan_Sweeney,CWS,OF,76,200,22.02
Brian_N._Anderson,CWS,OF,74,205,24.97
Luis_Terrero,CWS,OF,74,206,26.78
Pablo_Ozuna,CWS,OF,70,186,32.51
Scott_Podsednik,CWS,OF,72,188,30.95
Jermaine_Dye,CWS,OF,77,220,33.09
Darin_Erstad,CWS,OF,74,210,32.74
Rob_Mackowiak,CWS,OF,70,195,30.69
Jim_Thome,CWS,DH,76,244,36.51
Jerry_Owens,CWS,DH,75,195,26.03
Charlie_Haeger,CWS,Starting_P,73,200,23.45
Heath_Phillips,CWS,Starting_P,75,200,24.94
Gavin_Floyd,CWS,Starting_P,76,212,24.09
Jose_Contreras,CWS,Starting_P,76,224,35.23
Jon_Garland,CWS,Starting_P,78,210,27.43
Javier_Vazquez,CWS,Starting_P,74,205,30.6
Mark_Buehrle,CWS,Starting_P,74,220,27.94
Mike_MacDougal,CWS,Relief_P,76,195,29.99
David_Aardsma,CWS,Relief_P,77,200,25.17
Andrew_Sisco,CWS,Relief_P,81,260,24.13
Matt_Thornton,CWS,Relief_P,78,228,30.46
Bobby_Jenks,CWS,Relief_P,75,270,25.96
Boone_Logan,CWS,Relief_P,77,200,22.55
Sean_Tracey,CWS,Relief_P,75,210,26.29
Nick_Masset,CWS,Relief_P,76,190,24.79
Jose_Molina,ANA,C,74,220,31.74
Jeff_Mathis,ANA,C,72,180,23.92
Mike_Napoli,ANA,C,72,205,25.33
Casey_Kotchman,ANA,1B,75,210,24.02
Kendry_Morales,ANA,1B,73,220,23.7
Shea_Hillenbrand,ANA,1B,73,211,31.59
Robb_Quinlan,ANA,1B,73,200,29.95
Howie_Kendrick,ANA,1B,70,180,23.64
Orlando_Cabrera,ANA,SS,70,190,32.33
Erick_Aybar,ANA,SS,70,170,23.13
Dallas_McPherson,ANA,3B,76,230,26.6
Maicer_Izturis,ANA,3B,68,155,26.46
Reggie_Willits,ANA,OF,71,185,25.75
Tommy_Murphy,ANA,OF,72,185,27.51
Terry_Evans,ANA,OF,75,200,25.11
Gary_Matthews_Jr.,ANA,OF,75,225,32.51
Garret_Anderson,ANA,OF,75,225,34.67
Vladimir_Guerrero,ANA,OF,75,220,31.06
Chone_Figgins,ANA,OF,68,160,29.1
Juan_Rivera,ANA,OF,74,205,28.66
John_Lackey,ANA,Starting_P,78,235,28.35
Bartolo_Colon,ANA,Starting_P,71,250,33.77
Kelvim_Escobar,ANA,Starting_P,73,210,30.89
Dustin_Moseley,ANA,Starting_P,76,190,37.74
Ervin_Santana,ANA,Starting_P,74,160,24.14
Joe_Saunders,ANA,Starting_P,74,200,25.71
Jered_Weaver,ANA,Starting_P,79,205,24.41
Chris_Resop,ANA,Relief_P,75,222,24.32
Phil_Seibel,ANA,Relief_P,73,195,28.09
Justin_Speier,ANA,Relief_P,76,205,33.31
Darren_Oliver,ANA,Relief_P,74,220,36.4
Hector_Carrasco,ANA,Relief_P,74,220,37.36
Scot_Shields,ANA,Relief_P,73,170,31.61
Francisco_Rodriguez,ANA,Relief_P,72,185,25.14
Greg_Jones,ANA,Relief_P,74,195,30.29
Doug_Mirabelli,BOS,C,73,220,36.37
Jason_Varitek,BOS,C,74,230,34.89
George_Kottaras,BOS,C,72,180,23.79
Kevin_Youkilis,BOS,1B,73,220,27.96
Dustin_Pedroia,BOS,2B,69,180,23.54
Alex_Cora,BOS,SS,72,180,31.37
Julio_Lugo,BOS,SS,73,170,31.29
Mike_Lowell,BOS,3B,75,210,33.01
Wily_Mo_Pe?a,BOS,OF,75,215,25.1
J.D._Drew,BOS,OF,73,200,31.28
Manny_Ramirez,BOS,OF,72,213,34.75
Brandon_Moss,BOS,OF,72,180,23.46
David_Murphy,BOS,OF,76,192,25.37
Eric_Hinske,BOS,OF,74,235,29.57
Coco_Crisp,BOS,OF,72,185,27.33
David_Ortiz,BOS,DH,76,230,31.28
Curt_Schilling,BOS,Starting_P,77,235,40.29
Tim_Wakefield,BOS,Starting_P,74,210,40.58
Josh_Beckett,BOS,Starting_P,77,222,26.79
Matt_Clement,BOS,Starting_P,75,210,32.55
Jonathan_Papelbon,BOS,Starting_P,76,230,26.27
Kyle_Snyder,BOS,Starting_P,80,220,29.47
Devern_Hansack,BOS,Starting_P,74,180,29.07
Jon_Lester,BOS,Starting_P,74,190,23.15
Kason_Gabbard,BOS,Starting_P,75,200,24.9
Craig_Hansen,BOS,Relief_P,78,210,23.29
Hideki_Okajima,BOS,Relief_P,73,194,31.18
Craig_Breslow,BOS,Relief_P,73,180,26.56
Manny_Delcarmen,BOS,Relief_P,74,190,25.03
Brendan_Donnelly,BOS,Relief_P,75,240,35.66
Javier_Lopez,BOS,Relief_P,76,200,29.64
J.C._Romero,BOS,Relief_P,71,198,30.74
Joel_Pineiro,BOS,Relief_P,73,200,28.43
Julian_Tavarez,BOS,Relief_P,74,195,33.77
Mike_Timlin,BOS,Relief_P,76,210,40.97
Nick_DeBarr,BOS,Relief_P,76,220,23.52
Victor_Martinez,CLE,C,74,190,28.19
Kelly_Shoppach,CLE,C,73,210,26.84
Ryan_Garko,CLE,1B,74,225,26.16
Joe_Inglett,CLE,2B,70,180,28.67
Josh_Barfield,CLE,2B,72,185,24.2
Hector_Luna,CLE,2B,73,170,27.08
Jhonny_Peralta,CLE,SS,73,185,24.76
Andy_Marte,CLE,3B,73,185,23.36
Ben_Francisco,CLE,OF,73,180,25.35
Shin-Soo_Choo,CLE,OF,71,178,24.63
Franklin_Gutierrez,CLE,OF,74,175,24.02
Grady_Sizemore,CLE,OF,74,200,24.58
Jason_Michaels,CLE,OF,72,204,30.82
Trot_Nixon,CLE,OF,74,211,32.89
David_Dellucci,CLE,OF,71,190,33.33
Casey_Blake,CLE,OF,74,210,33.52
Travis_Hafner,CLE,DH,75,240,29.74
Paul_Byrd,CLE,Starting_P,73,190,36.24
Cliff_Lee,CLE,Starting_P,75,190,28.5
Jake_Westbrook,CLE,Starting_P,75,185,29.42
C.C._Sabathia,CLE,Starting_P,79,290,26.61
Jeremy_Sowers,CLE,Starting_P,73,175,23.79
Rafael_Perez,CLE,Relief_P,75,185,24.96
Brian_Slocum,CLE,Relief_P,76,200,25.93
Edward_Mujica,CLE,Relief_P,74,220,22.81
Fernando_Cabrera,CLE,Relief_P,76,170,25.29
Tom_Mastny,CLE,Relief_P,78,220,26.07
Juan_Lara,CLE,Relief_P,74,190,26.09
Fausto_Carmona,CLE,Relief_P,76,220,23.23
Aaron_Fultz,CLE,Relief_P,72,205,33.49
Rafael_Betancourt,CLE,Relief_P,74,200,31.84
Roberto_Hernandez,CLE,Relief_P,76,250,42.3
Joe_Borowski,CLE,Relief_P,74,225,35.82
Matt_Miller,CLE,Relief_P,75,215,35.27
Jason_Davis,CLE,Relief_P,78,210,26.81
Mike_Piazza,OAK,C,75,215,38.49
Jason_Kendall,OAK,C,72,195,32.68
Adam_Melhuse,OAK,C,74,200,34.93
Nick_Swisher,OAK,1B,72,194,26.26
Dan_Johnson,OAK,1B,74,220,27.56
Donald_Murphy,OAK,2B,70,180,23.98
Mark_Ellis,OAK,2B,71,180,29.73
Marco_Scutaro,OAK,SS,70,170,31.33
Bobby_Crosby,OAK,SS,75,195,27.13
Mark_Kiger,OAK,SS,71,180,26.75
Antonio_Perez,OAK,3B,71,170,27.09
Eric_Chavez,OAK,3B,73,206,29.23
Milton_Bradley,OAK,OF,72,205,28.88
Shannon_Stewart,OAK,OF,71,200,33.01
Bobby_Kielty,OAK,OF,73,225,30.57
Mark_Kotsay,OAK,OF,72,201,31.24
Ryan_Goleski,OAK,OF,75,225,24.95
Jeremy_Brown,OAK,DH,70,226,27.35
Jason_Windsor,OAK,Starting_P,74,233,24.62
David_Shafer,OAK,Starting_P,74,180,24.98
Joe_Blanton,OAK,Starting_P,75,225,26.22
Brad_Halsey,OAK,Starting_P,73,180,26.04
Dan_Haren,OAK,Starting_P,77,220,26.45
Rich_Harden,OAK,Starting_P,73,180,25.25
Joe_Kennedy,OAK,Starting_P,76,237,27.77
Esteban_Loaiza,OAK,Starting_P,75,215,35.16
Alan_Embree,OAK,Relief_P,74,190,37.1
Jay_Witasick,OAK,Relief_P,76,235,34.51
Justin_Duchscherer,OAK,Relief_P,75,190,29.28
Kiko_Calero,OAK,Relief_P,73,180,32.14
Chad_Gaudin,OAK,Relief_P,71,165,23.94
Lenny_DiNardo,OAK,Relief_P,76,195,27.45
Scott_Dunn,OAK,Relief_P,75,200,28.77
Huston_Street,OAK,Relief_P,72,190,23.58
Ron_Flores,OAK,Relief_P,71,190,27.56
Jay_Marshall,OAK,Relief_P,77,185,24.01
Marcus_McBeth,OAK,Relief_P,73,185,26.52
Jorge_Posada,NYY,C,74,205,35.54
Wil_Nieves,NYY,C,71,190,29.43
Andy_Phillips,NYY,1B,72,205,29.9
Doug_Mientkiewicz,NYY,1B,74,206,32.7
Josh_Phelps,NYY,1B,75,220,28.8
Miguel_Cairo,NYY,2B,73,208,32.82
Robinson_Cano,NYY,2B,72,170,24.36
Derek_Jeter,NYY,SS,75,195,32.68
Alex_Rodriguez,NYY,3B,75,210,31.59
Johnny_Damon,NYY,OF,74,190,33.32
Bobby_Abreu,NYY,OF,72,211,32.97
Hideki_Matsui,NYY,OF,74,230,32.72
Melky_Cabrera,NYY,OF,71,170,22.55
Kevin_Thompson,NYY,OF,70,185,27.45
Jason_Giambi,NYY,DH,75,230,36.14
Mike_Mussina,NYY,Starting_P,74,185,38.23
Carl_Pavano,NYY,Starting_P,77,241,31.14
Andy_Pettitte,NYY,Starting_P,77,225,34.71
Darrell_Rasner,NYY,Starting_P,75,210,26.13
Jeff_Karstens,NYY,Starting_P,75,175,24.43
Humberto_Sanchez,NYY,Starting_P,78,230,23.76
Chien-Ming_Wang,NYY,Starting_P,75,200,26.92
Sean_Henn,NYY,Relief_P,76,215,25.85
Scott_Proctor,NYY,Relief_P,73,198,30.16
Brian_Bruney,NYY,Relief_P,75,226,25.03
Chris_Britton,NYY,Relief_P,75,278,24.21
T.J._Beam,NYY,Relief_P,79,215,26.51
Jose_Veras,NYY,Relief_P,77,230,26.36
Kyle_Farnsworth,NYY,Relief_P,76,240,30.88
Luis_Vizcaino,NYY,Relief_P,71,184,32.57
Mike_Myers,NYY,Relief_P,75,219,37.68
Mariano_Rivera,NYY,Relief_P,74,170,37.25
Ivan_Rodriguez,DET,C,69,218,35.25
Vance_Wilson,DET,C,71,190,33.95
Sean_Casey,DET,1B,76,225,32.66
Chris_Shelton,DET,1B,72,220,26.68
Omar_Infante,DET,2B,72,176,25.18
Placido_Polanco,DET,2B,70,190,31.39
Neifi_Perez,DET,2B,72,197,33.74
Carlos_Guillen,DET,SS,73,204,31.42
Ramon_Santiago,DET,SS,71,167,27.5
Tony_Giarratano,DET,SS,72,180,24.25
Brandon_Inge,DET,3B,71,195,29.78
Craig_Monroe,DET,OF,73,220,30
Magglio_Ordo?ez,DET,OF,72,215,33.09
Curtis_Granderson,DET,OF,73,185,25.96
Brent_Clevlen,DET,OF,74,190,23.34
Marcus_Thames,DET,OF,74,205,29.98
Gary_Sheffield,DET,OF,72,205,38.28
Mike_Rabelo,DET,DH,73,200,27.12
Zach_Miner,DET,Starting_P,75,200,24.97
Jeremy_Bonderman,DET,Starting_P,74,210,24.34
Nate_Robertson,DET,Starting_P,74,215,29.49
Justin_Verlander,DET,Starting_P,77,200,24.02
Virgil_Vasquez,DET,Starting_P,75,205,24.73
Kenny_Rogers,DET,Starting_P,73,211,42.3
Mike_Maroth,DET,Starting_P,72,190,29.54
Fernando_Rodney,DET,Relief_P,71,208,29.95
Chad_Durbin,DET,Relief_P,74,200,29.24
Jason_Grilli,DET,Relief_P,77,210,30.3
Jose_Mesa,DET,Relief_P,75,232,40.77
Todd_Jones,DET,Relief_P,75,230,38.85
Joel_Zumaya,DET,Relief_P,75,210,22.31
Jordan_Tata,DET,Relief_P,78,220,25.44
Andrew_Miller,DET,Relief_P,78,210,21.78
Yorman_Bazardo,DET,Relief_P,74,202,22.64
Wilfredo_Ledezma,DET,Relief_P,76,212,26.11
Roman_Colon,DET,Relief_P,78,225,27.55
Edward_Campusano,DET,Relief_P,76,170,24.63
Rene_Rivera,SEA,C,70,190,23.58
Kenji_Johjima,SEA,C,72,200,30.73
Richie_Sexson,SEA,1B,80,237,32.17
Ben_Broussard,SEA,1B,74,220,30.43
Jose_Lopez,SEA,2B,74,170,23.27
Jose_Vidro,SEA,2B,71,193,32.51
Yuniesky_Betancourt,SEA,SS,70,190,25.08
Oswaldo_Navarro,SEA,SS,72,150,22.41
Adrian_Beltre,SEA,3B,71,220,27.9
Raul_Ibanez,SEA,OF,74,200,34.74
Jose_Guillen,SEA,OF,71,190,30.79
Jeremy_Reed,SEA,OF,72,185,25.71
Willie_Bloomquist,SEA,OF,71,185,29.26
Adam_Jones,SEA,OF,74,200,21.58
Ichiro_Suzuki,SEA,OF,69,172,33.36
Mike_Morse,SEA,OF,76,220,24.94
Felix_Hernandez,SEA,Starting_P,75,225,20.9
Ryan_Feierabend,SEA,Starting_P,75,190,21.52
Sean_White,SEA,Starting_P,76,195,25.85
Horacio_Ramirez,SEA,Starting_P,73,219,27.27
Cha_Baek,SEA,Starting_P,76,190,26.75
Miguel_Batista,SEA,Starting_P,73,197,36.03
Jeff_Weaver,SEA,Starting_P,77,200,30.52
Jarrod_Washburn,SEA,Starting_P,73,195,32.55
George_Sherrill,SEA,Relief_P,72,210,29.86
Julio_Mateo,SEA,Relief_P,72,177,29.58
J.J._Putz,SEA,Relief_P,77,220,30.02
Chris_Reitsma,SEA,Relief_P,77,235,29.16
Cesar_Jimenez,SEA,Relief_P,71,180,22.3
Eric_O'Flaherty,SEA,Relief_P,74,195,22.06
Jon_Huber,SEA,Relief_P,74,195,25.65
Jake_Woods,SEA,Relief_P,73,190,25.49
Sean_Green,SEA,Relief_P,78,230,27.86
Mark_Lowe,SEA,Relief_P,75,190,23.73
Josh_Paul,TB,C,73,200,31.78
Dioner_Navarro,TB,C,70,190,23.06
Shawn_Riggans,TB,C,74,190,26.6
Ty_Wigginton,TB,1B,72,200,29.39
Brendan_Harris,TB,2B,73,200,26.51
Jorge_Cantu,TB,2B,73,184,25.08
Ben_Zobrist,TB,SS,75,200,25.76
B.J._Upton,TB,3B,75,180,22.52
Carl_Crawford,TB,OF,74,219,25.57
Rocco_Baldelli,TB,OF,76,187,25.43
Greg_Norton,TB,OF,73,200,34.65
Elijah_Dukes,TB,OF,74,220,22.68
Delmon_Young,TB,OF,75,205,21.46
Jonny_Gomes,TB,DH,73,205,26.27
Edwin_Jackson,TB,Starting_P,75,190,23.47
Scott_Kazmir,TB,Starting_P,72,170,23.1
Casey_Fossum,TB,Starting_P,73,160,29.14
Jae_Seo,TB,Starting_P,73,215,29.77
J.P._Howell,TB,Starting_P,72,175,23.85
Tim_Corcoran,TB,Starting_P,74,205,28.88
Jason_Hammel,TB,Starting_P,78,200,24.49
James_Shields,TB,Starting_P,76,214,25.19
Brian_Stokes,TB,Starting_P,73,200,27.48
Juan_Salas,TB,Relief_P,74,190,28.31
Jeff_Ridgway,TB,Relief_P,75,180,26.54
Ruddy_Lugo,TB,Relief_P,70,205,26.77
Jae-Kuk_Ryu,TB,Relief_P,75,220,23.75
Chad_Orvella,TB,Relief_P,71,190,26.41
Dan_Miceli,TB,Relief_P,72,215,36.47
Seth_McClung,TB,Relief_P,78,235,26.06
Jon_Switzer,TB,Relief_P,75,191,27.55
Shawn_Camp,TB,Relief_P,73,200,31.28
Scott_Dohmann,TB,Relief_P,73,181,29.04
Jason_LaRue,KC,C,71,200,32.95
John_Buck,KC,C,75,210,26.65
Ryan_Shealy,KC,1B,77,240,27.5
Ross_Gload,KC,1B,72,185,30.9
Esteban_German,KC,2B,69,165,29.09
Mark_Grudzielanek,KC,2B,73,190,36.67
Angel_Sanchez,KC,2B,74,185,23.44
Angel_Berroa,KC,SS,72,175,29.09
Andres_Blanco,KC,SS,70,155,22.89
Mark_Teahen,KC,3B,75,210,25.48
Joey_Gathright,KC,OF,70,170,25.84
David_DeJesus,KC,OF,72,175,27.2
Shane_Costa,KC,OF,72,220,25.22
Mitch_Maier,KC,OF,74,210,24.67
Reggie_Sanders,KC,OF,73,205,39.25
Emil_Brown,KC,OF,74,200,32.17
Mike_Sweeney,KC,DH,75,225,33.61
John_Bale,KC,Starting_P,76,205,32.77
Luke_Hudson,KC,Starting_P,75,195,29.83
Scott_Elarton,KC,Starting_P,80,240,31.02
Odalis_Perez,KC,Starting_P,72,150,29.73
Gil_Meche,KC,Starting_P,75,200,28.48
Neal_Musser,KC,Starting_P,73,215,26.51
Brian_Bannister,KC,Starting_P,74,202,26
Zack_Greinke,KC,Starting_P,74,200,23.36
Jorge_De_La_Rosa,KC,Starting_P,73,190,25.9
Todd_Wellemeyer,KC,Relief_P,75,205,28.5
Jimmy_Gobble,KC,Relief_P,75,190,25.62
Joel_Peralta,KC,Relief_P,71,160,30.94
Ryan_Braun,KC,Relief_P,73,215,26.59
Joakim_Soria,KC,Relief_P,75,185,22.78
Ken_Ray,KC,Relief_P,74,200,32.26
David_Riske,KC,Relief_P,74,190,30.35
Octavio_Dotel,KC,Relief_P,72,210,33.26
Joe_Nelson,KC,Relief_P,74,185,32.35
Gerald_Laird,TEX,C,74,220,27.3
Miguel_Ojeda,TEX,C,74,190,32.08
Guillermo_Quiroz,TEX,C,73,202,25.25
Chris_Stewart,TEX,C,76,205,25.03
Mark_Teixeira,TEX,1B,75,220,26.89
Ian_Kinsler,TEX,2B,72,175,24.69
Joaquin_Arias,TEX,SS,73,160,22.44
Michael_Young,TEX,SS,73,190,30.36
Hank_Blalock,TEX,3B,73,200,26.27
Marlon_Byrd,TEX,OF,72,229,29.5
Brad_Wilkerson,TEX,OF,72,206,29.75
Sammy_Sosa,TEX,OF,72,220,38.3
Kenny_Lofton,TEX,OF,72,180,39.75
Frank_Catalanotto,TEX,OF,71,195,32.84
Nelson_Cruz,TEX,OF,75,175,26.66
Jason_Botts,TEX,DH,77,250,26.6
Robinson_Tejeda,TEX,Starting_P,75,188,24.94
John_Rheinecker,TEX,Starting_P,74,230,27.76
Edinson_Volquez,TEX,Starting_P,73,190,23.66
A.J._Murray,TEX,Starting_P,75,200,24.96
Brandon_McCarthy,TEX,Starting_P,79,190,23.65
Vicente_Padilla,TEX,Starting_P,74,219,29.42
Kevin_Millwood,TEX,Starting_P,76,235,32.18
John_Koronka,TEX,Starting_P,73,180,26.66
Frank_Francisco,TEX,Relief_P,74,180,27.47
Francisco_Cruceta,TEX,Relief_P,74,180,25.66
Akinori_Otsuka,TEX,Relief_P,72,200,35.13
Eric_Gagne,TEX,Relief_P,74,234,31.15
Ron_Mahay,TEX,Relief_P,74,185,35.67
Joaquin_Benoit,TEX,Relief_P,75,220,29.6
Rick_Bauer,TEX,Relief_P,78,223,30.14
Josh_Rupe,TEX,Relief_P,74,200,24.53
Wes_Littleton,TEX,Relief_P,74,210,24.49
C.J._Wilson,TEX,Relief_P,74,200,26.28
Scott_Feldman,TEX,Relief_P,77,210,24.06
Gregg_Zaun,TOR,C,70,190,35.88
Jason_Phillips,TOR,C,73,177,30.42
Lyle_Overbay,TOR,1B,74,227,30.09
Russ_Adams,TOR,2B,73,180,26.5
Aaron_Hill,TOR,2B,71,195,24.94
Jason_Smith,TOR,2B,75,199,29.6
John_McDonald,TOR,SS,71,175,32.43
Royce_Clayton,TOR,SS,72,185,37.16
Troy_Glaus,TOR,3B,77,240,30.57
John_Hattig,TOR,3B,74,210,27.01
Reed_Johnson,TOR,OF,70,180,30.23
Alex_Rios,TOR,OF,77,194,26.03
Vernon_Wells,TOR,OF,73,225,28.23
Frank_Thomas,TOR,DH,77,275,38.76
Adam_Lind,TOR,DH,74,195,23.62
Shaun_Marcum,TOR,Starting_P,72,180,25.21
Casey_Janssen,TOR,Starting_P,76,205,25.45
Gustavo_Chacin,TOR,Starting_P,71,193,26.24
A.J._Burnett,TOR,Starting_P,76,230,30.15
Roy_Halladay,TOR,Starting_P,78,230,29.8
John_Thomson,TOR,Starting_P,75,220,33.41
Tomo_Ohka,TOR,Starting_P,73,200,30.95
B.J._Ryan,TOR,Relief_P,78,249,31.17
Scott_Downs,TOR,Relief_P,74,190,30.95
Brian_Tallet,TOR,Relief_P,79,208,29.44
Matt_Roney,TOR,Relief_P,75,245,27.14
Tracy_Thorpe,TOR,Relief_P,76,250,26.21
Jean_Machi,TOR,Relief_P,72,160,24.08
Brandon_League,TOR,Relief_P,75,192,23.96
Dustin_McGowan,TOR,Relief_P,75,220,24.94
Jason_Frasor,TOR,Relief_P,70,170,29.56
Francisco_Rosario,TOR,Relief_P,72,197,26.42
Davis_Romero,TOR,Relief_P,70,155,23.92
Jeremy_Accardo,TOR,Relief_P,74,190,25.23
Mike_Redmond,MIN,C,71,200,35.82
Joe_Mauer,MIN,C,76,220,23.87
Chris_Heintz,MIN,C,73,210,32.57
Justin_Morneau,MIN,1B,76,228,25.79
Luis_Castillo,MIN,2B,71,190,31.47
Alexi_Casilla,MIN,2B,69,160,22.61
Alejandro_Machado,MIN,2B,72,184,24.85
Jason_Bartlett,MIN,SS,72,180,27.33
Luis_Rodriguez,MIN,3B,69,180,26.67
Jeff_Cirillo,MIN,3B,73,200,37.43
Nick_Punto,MIN,3B,69,176,29.31
Jason_Tyner,MIN,OF,73,160,29.85
Michael_Cuddyer,MIN,OF,74,222,27.93
Torii_Hunter,MIN,OF,74,211,31.62
Lew_Ford,MIN,OF,72,195,30.55
Jason_Kubel,MIN,OF,71,200,24.77
Josh_Rabe,MIN,DH,74,210,28.38
Rondell_White,MIN,DH,73,225,35.02
Ramon_Ortiz,MIN,Starting_P,72,175,33.77
Johan_Santana,MIN,Starting_P,72,206,27.97
Carlos_Silva,MIN,Starting_P,76,240,27.85
Matt_Garza,MIN,Starting_P,76,185,23.26
Boof_Bonser,MIN,Starting_P,76,260,25.38
Francisco_Liriano,MIN,Starting_P,74,185,23.35
Scott_Baker,MIN,Starting_P,76,221,25.45
Pat_Neshek,MIN,Relief_P,75,205,26.49
Glen_Perkins,MIN,Relief_P,71,200,24
Julio_DePaula,MIN,Relief_P,72,170,24.16
Juan_Rincon,MIN,Relief_P,71,201,28.1
Jesse_Crain,MIN,Relief_P,73,205,25.65
Matt_Guerrier,MIN,Relief_P,75,185,28.58
Joe_Nathan,MIN,Relief_P,76,205,32.27
Dennys_Reyes,MIN,Relief_P,75,245,29.86
Brayan_Pe?a,ATL,C,71,220,25.14
Brian_McCann,ATL,C,75,210,23.03
Craig_Wilson,ATL,1B,74,220,30.25
Chris_Woodward,ATL,2B,72,185,30.67
Pete_Orr,ATL,2B,73,175,27.73
Martin_Prado,ATL,2B,73,170,23.34
Tony_Pe?a,ATL,SS,73,180,25.94
Edgar_Renteria,ATL,SS,73,200,31.56
Chipper_Jones,ATL,3B,76,210,34.85
Willy_Aybar,ATL,3B,72,175,23.98
Jeff_Francoeur,ATL,OF,76,220,23.14
Matt_Diaz,ATL,OF,73,206,28.99
Kelly_Johnson,ATL,OF,73,180,25.02
Andruw_Jones,ATL,OF,73,210,29.85
Ryan_Langerhans,ATL,OF,75,195,27.03
Scott_Thorman,ATL,OF,75,200,25.15
T.J._Bohn,ATL,OF,77,200,27.12
Tim_Hudson,ATL,Starting_P,73,164,31.63
Jonathan_Johnson,ATL,Starting_P,72,180,32.62
John_Smoltz,ATL,Starting_P,75,220,39.79
Mike_Hampton,ATL,Starting_P,70,195,34.47
Kyle_Davies,ATL,Starting_P,74,205,23.47
Chuck_James,ATL,Starting_P,72,170,25.31
Phil_Stockman,ATL,Relief_P,80,240,27.1
Macay_McBride,ATL,Relief_P,71,210,24.35
Joey_Devine,ATL,Relief_P,71,195,23.45
Peter_Moylan,ATL,Relief_P,74,200,28.24
Mike_Gonzalez,ATL,Relief_P,74,205,28.77
Lance_Cormier,ATL,Relief_P,73,192,26.53
Blaine_Boyer,ATL,Relief_P,75,190,25.64
Manny_Acosta,ATL,Relief_P,76,170,25.83
Bob_Wickman,ATL,Relief_P,73,240,38.06
Tanyon_Sturtze,ATL,Relief_P,77,200,36.38
